352	8254	8819	1884	2957	1745	129	-952	-687	806	4529	5494	9153	3954	138	2703
5995	2088	9387	7029	4091	-72	534	8375	9221	6312	523	7500	-595	6595	5949	7430
3976	8060	3035	2331	3165	6953	8132	-561	8736	8900	9083	-722	5746	-956	5522	2540
3497	6001	7817	7505	8665	2534	4359	752	2468	6338	5546	7623	175	9770	25	7779
5900	3086	6476	9136	6148	5550	1796	378	6140	1237	2369	-89	8071	-836	8337	7239
7573	5670	1884	5543	3292	6704	4590	7099	-612	5025	9754	6935	673	7996	8907	3692
1625	6664	3052	2908	8358	645	-421	655	2544	4726	7420	1847	4493	1844	3533	9187
1650	884	4008	1404	8940	7302	4820	3868	7737	9813	6952	2211	477	5548	9068	1508
7968	2705	7469	3215	6983	4036	9349	6791	-430	2400	2274	3957	5858	5335	226	965
5882	8836	286	3515	5823	9683	9214	-546	1488	-102	1568	-576	6140	6067	1529	5591
9601	4756	8878	7787	4852	7420	4153	-904	4899	-885	7582	1242	-656	1554	1953	5958
2828	5621	-537	3122	-176	4200	2391	4065	2158	-48	9870	3995	649	4852	6364	1671
7809	6292	526	193	9695	9677	4307	5856	8982	9351	8242	1319	2651	4235	4405	7124
866	5997	1580	3284	2158	6039	542	3476	211	7503	974	-118	7607	1119	7448	4932
7001	3539	9980	7494	1875	470	1527	2899	9324	7973	3095	5686	4538	9591	9976	7401
3946	3639	883	7753	2636	8019	6008	9503	9145	8360	366	5644	8536	1561	9497	3975
5459	8585	8187	8008	8999	3464	9367	7122	910	3367	2423	3740	7735	4958	4767	781
9165	9651	6507	1768	6979	1138	6645	8453	401	4598	2192	6930	8630	5563	7854	9552
6180	-691	-810	8252	9017	6224	7009	1868	9147	472	6601	397	9047	3646	9645	7456
2761	8222	-246	990	-450	8222	1003	791	1307	8188	937	7187	3376	5560	-898	446
7747	3102	1885	6759	3965	7704	6738	7238	6402	-440	3979	-200	3766	9612	9062	-56
7464	3668	770	4929	5732	4252	5426	4238	6391	5750	412	-776	882	9373	1629	7475
9610	6896	1516	4317	5770	3831	3358	903	4789	5333	4606	5573	6849	2265	5733	6529
1657	5066	1006	8829	9915	3740	8320	2463	5786	4624	492	1574	1037	1751	8324	2934
4761	7041	-915	8020	5436	9347	1104	4339	2329	3950	8965	7993	7794	5041	3290	7095
3562	4315	4190	1039	8703	-178	209	7713	907	45	2989	4502	2413	6078	829	113
4968	6426	9322	9025	8998	4261	7469	2460	2225	-995	1387	3821	245	7691	318	9866
-726	-577	283	4566	-562	1102	510	2322	6099	1185	2875	3370	7137	9013	2128	1389
4535	6823	1463	7027	3430	2101	3881	9044	7614	7973	1568	6179	-888	5856	8417	8062
2141	4190	1200	1863	5844	227	8272	2180	4173	8980	9488	2523	-918	2870	5224	1452
2286	9545	835	6450	4153	9385	8908	208	5011	4404	8946	-672	2570	655	6919	1950
7373	97	1470	1228	8405	4074	8660	2288	986	531	-714	-956	8807	6538	594	5204
6221	-659	3549	8770	7976	726	7055	2536	5485	2619	907	4791	7166	8318	1403	5490
4379	6506	1559	7501	9670	3190	283	1933	-436	4381	9057	9117	-538	7499	-827	1758
6477	3927	6101	3165	317	-253	8571	3162	9298	7536	-447	406	5231	1012	9511	4218
486	-295	4371	6367	1109	-586	2800	2150	8440	7445	-106	7074	7476	1807	5089	4224
3077	781	8770	2117	9463	8307	7890	8701	1510	1450	2943	6041	5581	5189	5079	758
4039	1754	3469	2366	8864	2442	9942	3921	567	818	3198	7926	6268	4773	7072	3299
8958	5041	-427	9732	3757	7695	2084	3871	1415	7767	1198	8207	4274	3955	1475	287
1746	46	5685	-44	2891	4129	7892	3959	7646	3379	2127	6563	3329	8845	8689	1658
7334	8567	9913	-34	2816	8785	3747	1490	4970	3981	7746	9186	6986	6447	4735	7387
811	6957	8258	6600	516	5782	-406	58	8664	5509	1432	4720	9403	5531	19	424
666	6767	-370	111	4593	2856	-29	614	9762	521	6127	2151	7320	9979	5839	5130
7948	4268	4114	5757	3936	8436	7203	5792	4659	7066	4612	3769	1363	9340	7744	6860
6321	6861	4078	3670	5663	5450	-883	7153	7611	6963	-23	5873	69	9774	8706	167
9896	-295	1123	7511	4871	7231	774	146	8933	6624	5502	5337	391	3361	3548	286
9346	5646	5624	3422	6886	7216	9826	5258	-33	2528	2103	9010	8201	9129	3008	9747
3157	323	5005	3132	6875	7189	5833	2270	1929	-755	9376	4326	680	-464	962	8081
8926	-3	8643	-39	2106	9392	-671	1180	2303	364	-154	3520	9563	8378	1081	1697
5159	3141	7520	3904	6277	3559	129	809	-730	-801	7490	3043	2326	-686	-973	8545
6223	4739	6396	38	-70	3917	9042	2538	8150	4614	7277	-394	1113	7162	1779	31
9426	790	7378	9244	5947	7240	195	5596	7443	313	2707	5025	-279	3488	4995	9233
9714	1169	-849	72	4277	994	9945	6729	8891	3652	7885	9055	1517	3424	5853	7546
696	1812	1707	9862	8472	-433	2817	2086	-891	-350	1845	7794	4847	5296	7981	3397
3899	6622	3555	8228	4409	-238	7706	9838	1400	7167	8922	-499	2950	-842	-627	5968
8676	6313	2474	3637	2119	-895	7848	7010	7099	-689	4039	1619	2658	8534	2368	6222
8818	9446	6864	-800	-971	2323	2408	5586	-910	1079	3201	136	3289	8869	9901	8153
3595	-50	5917	3471	8902	4385	6374	8696	-230	-519	7164	1273	17	864	6678	7645
6959	8235	973	-446	5862	9916	5673	5548	2742	3106	838	308	9690	6676	1290	5767
8980	8752	3928	2084	7599	6134	-687	2847	-313	7781	1739	6998	4537	7007	6272	-949
8654	7471	7920	4253	31	2519	365	4836	1172	7703	8779	4690	2951	5468	2766	3015
2053	6963	7597	1955	72	155	2596	-769	9670	5705	6715	6468	6227	9392	5802	1707
6055	3333	4890	9778	1925	5533	2025	765	5918	3487	9371	5908	4443	7288	1325	7763
6904	8661	4614	6159	5837	8860	5459	5178	7405	1856	3276	7761	5240	4255	9119	8517
5229	8853	4148	5190	5762	9041	-25	9403	3637	7863	9155	6089	7664	-985	-196	4834
690	-802	8337	2813	31	3902	5684	3086	5612	2887	7075	884	-338	9716	4758	5578
803	1044	-949	-709	3784	2454	2796	4386	8767	2021	7754	5029	8324	4818	3386	3067
2544	5735	9715	1083	7785	-391	9072	8725	2209	3816	8415	7208	2156	5600	1929	3861
3529	3924	974	3593	1383	4858	9661	3021	6081	5298	441	9590	4716	9097	2918	2498
4810	2959	2272	8964	1156	2596	2721	6351	970	27	2675	6353	6343	1519	-747	1062
9948	6898	3413	1537	5804	2246	1868	5394	6782	6553	252	4792	8988	4007	7143	-498
2979	6310	483	2724	8070	3526	4010	8676	2007	1319	5886	1920	3924	8990	8647	1062
537	6016	7036	6291	1587	-114	4484	6558	7419	1233	7330	3621	7743	4803	5481	5872
6477	4602	-922	6301	9839	1043	7812	5606	1227	-996	7467	6477	9425	3837	8121	1752
8736	5548	4951	8887	9794	5909	4718	9497	4938	50	1095	9466	8895	4980	7281	7819
3017	1536	4435	3258	3281	2109	8918	-423	154	4185	-154	26	1613	-181	6806	7413
6122	8263	8545	9152	7556	3842	8489	6847	6431	-759	8633	4356	9239	3606	1308	7268
546	9150	8693	2332	4591	6394	329	3810	6657	-673	4716	7999	4545	3278	5054	6462
7907	6804	8676	712	4055	556	6350	5181	5309	4762	8291	2978	8119	4741	-204	3254
8503	5322	5518	4713	6114	1832	6747	6081	6249	6205	936	-424	9571	9547	6316	71
5671	3057	2947	168	-760	8089	95	5776	-582	5890	8680	9498	4394	4739	9633	1013
3173	7565	3271	-365	1169	5533	-366	4026	7738	9566	4799	2778	3139	3816	9644	2512
-156	-172	5314	3835	5855	5316	-653	8703	9736	-316	1968	2590	4855	9804	7226	9333
8704	3586	8058	9257	-582	-808	8791	2291	8640	8079	2626	9206	3833	2505	7972	5467
4561	6675	2398	9165	9218	-914	1754	8662	8641	2879	7013	-784	860	6673	2528	8393
8580	-342	1346	462	155	5737	6119	2396	-311	7464	6677	8616	2586	8762	499	7499
3554	4554	759	2530	9344	1513	4729	4678	2469	2342	5780	1240	2086	1976	172	1523
1905	2006	7440	-561	9330	6082	1871	9858	2484	4317	1836	5751	3085	3728	7828	8012
9865	7131	5203	4372	4420	5918	5921	2311	-241	4857	6956	6491	4527	6414	2482	4941
4211	2417	9869	341	4788	58	-721	5490	4886	2687	-281	9697	587	558	5970	9041
1679	2772	3455	4144	4754	-473	8555	13	6276	9594	7777	8678	1597	-803	2631	-726
8383	9314	5246	5047	272	4059	9669	1166	370	9572	-966	3337	7275	7135	5686	2425
3203	3110	3575	1400	9656	7851	5451	206	2662	5854	-434	5350	4695	8463	315	3117
7513	3742	6126	6579	6788	-677	-973	552	1503	2232	4808	3511	9700	1108	2774	-557
684	387	3063	2554	9812	7941	-68	7816	1664	8331	8653	2524	1881	4068	-346	7501
67	9723	291	9304	7821	4045	8939	7057	1116	22	1032	2553	7380	4022	2447	1727
7452	189	1327	-918	1466	4273	-901	5632	951	1462	9803	5978	1997	7857	1498	6800
360	9431	5504	3543	3280	6894	2961	4939	4746	7336	-706	880	8208	2189	2834	2201
7900	4773	5699	1609	1552	2416	2993	1359	6808	1451	4012	3067	8795	259	1226	3267
0	2476	476	8417	1926	3297	8744	5699	1578	323	4534	-60	2298	1359	8447	9449
3077	7559	4803	346	7902	2259	1737	792	272	3627	9373	2608	3441	6136	8893	6919
2116	-689	2842	839	3432	8967	2748	-924	6705	2752	6759	4897	5308	829	3108	358
9721	3556	4075	308	779	112	4639	6535	9722	9907	-71	8100	9049	8308	8019	5940
5381	-256	2234	2702	8851	2380	3966	5965	1105	4755	2664	9670	584	8722	5470	8892
6637	5664	6425	774	9664	6463	4013	5963	7295	1278	-77	1371	6546	1083	784	7982
4013	9548	-397	-581	5667	8137	8068	9199	2369	2201	277	8702	3934	3445	1448	2587
460	8800	8832	8598	2011	-423	7666	6509	4350	-171	575	7201	2626	2379	6129	3596
9516	2339	6201	2676	3673	6088	5665	2845	5430	9709	5374	8235	4236	550	5992	9164
9042	7340	3802	4046	2548	6662	-491	2202	-265	2485	3342	6973	6317	3727	8181	3591
-819	-209	2471	4257	-298	1442	2835	3352	266	9625	9163	4091	3258	7592	-56	-944
4621	-854	4436	-282	4651	3623	8080	8191	3598	9980	5173	8473	492	7312	129	2366
